,artist,genre,title,lyric_count,unique_count,lexical_diversity,artist_title
0,Real McCoy,pop,Another Night,714,47,0.06582633053221289,"('Real McCoy', 'Another Night')"
1,Lifehouse,pop,Hanging By A Moment,441,43,0.09750566893424037,"('Lifehouse', 'Hanging By A Moment')"
2,Nickelback,pop,How You Remind Me,700,45,0.06428571428571428,"('Nickelback', 'How You Remind Me')"
3,3 Doors Down,pop,Here Without You,489,42,0.08588957055214724,"('3 Doors Down', 'Here Without You')"
4,No Doubt,pop,Don't Speak,478,48,0.100418410041841,"('No Doubt', ""Don't Speak"")"
5,Goo Goo Dolls,pop,Iris,406,41,0.10098522167487685,"('Goo Goo Dolls', 'Iris')"
6,Donna Lewis,pop,I Love You Always Forever,689,46,0.06676342525399129,"('Donna Lewis', 'I Love You Always Forever')"
7,Maroon 5,pop,One More Night,742,45,0.06064690026954178,"('Maroon 5', 'One More Night')"
8,Avicii,pop,Wake Me Up!,433,47,0.10854503464203233,"('Avicii', 'Wake Me Up!')"
9,Ke$ha,pop,TiK ToK,828,52,0.06280193236714976,"('Ke$ha', 'TiK ToK')"
10,Goo Goo Dolls,pop,Slide,526,46,0.08745247148288973,"('Goo Goo Dolls', 'Slide')"
11,Goo Goo Dolls,pop,Name,370,45,0.12162162162162163,"('Goo Goo Dolls', 'Name')"
12,OneRepublic,pop,Counting Stars,1055,48,0.04549763033175355,"('OneRepublic', 'Counting Stars')"
13,Spin Doctors,pop,Two Princes,781,51,0.06530089628681178,"('Spin Doctors', 'Two Princes')"
14,Bruno Mars,pop,Locked Out of Heaven,488,48,0.09836065573770492,"('Bruno Mars', 'Locked Out of Heaven')"
15,Savage Garden,pop,Truly Madly Deeply,510,42,0.08235294117647059,"('Savage Garden', 'Truly Madly Deeply')"
16,3 Doors Down,pop,Kryptonite,538,45,0.08364312267657993,"('3 Doors Down', 'Kryptonite')"
17,Kelly Clarkson,pop,Since U Been Gone,447,45,0.10067114093959731,"('Kelly Clarkson', 'Since U Been Gone')"
18,Britney Spears,pop,...Baby One More Time,463,49,0.10583153347732181,"('Britney Spears', '...Baby One More Time')"
19,Kelly Clarkson,pop,Because Of You,516,43,0.08333333333333333,"('Kelly Clarkson', 'Because Of You')"
20,The Black Eyed Peas,pop,Where Is The Love?,1271,56,0.044059795436664044,"('The Black Eyed Peas', 'Where Is The Love?')"
21,Ed Sheeran,pop,Shape Of You,1044,59,0.05651340996168582,"('Ed Sheeran', 'Shape Of You')"
22,Jewel,pop,You Were Meant For Me,591,44,0.07445008460236886,"('Jewel', 'You Were Meant For Me')"
23,Creed,pop,With Arms Wide Open,447,41,0.09172259507829977,"('Creed', 'With Arms Wide Open')"
24,Bruno Mars,pop,Just The Way You Are,535,51,0.09532710280373832,"('Bruno Mars', 'Just The Way You Are')"
